route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
158892,-1,120,Ormesheim-to-Römerkastell,,3,https://www.openstreetmap.org/relation/158892,,
193652,-1,Pfälzische Ludwigsbahn,Mannheim-to-Saarbrücken,,2,https://www.openstreetmap.org/relation/193652,,
237155,-1,138,Dudweiler Dudoplatz-to-Römerkastell,,3,https://www.openstreetmap.org/relation/237155,,
237689,-1,102,Altenkessel Talstraße-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/237689,,
237694,8051427652788841760,101,Füllengarten Siedlung-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/237694,,
237696,-1,136,Klinikum Saarbrücken-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/237696,,
237739,-1,109,Goldene Bremm-to-Universität Busterminal,,3,https://www.openstreetmap.org/relation/237739,,
237740,-1,112,Hauptbahnhof-to-Universität Busterminal,,3,https://www.openstreetmap.org/relation/237740,,
240041,-1,163,Dudweiler Bahnhof-to-Scheidt Im Flürchen,,3,https://www.openstreetmap.org/relation/240041,,
273002,7589882482457338125,Saarbahn,,,0,https://www.openstreetmap.org/relation/273002,,
384614,-1,19,Strasbourg-to-Saarbrücken Hauptbahnhof,,2,https://www.openstreetmap.org/relation/384614,,
405625,-1,107,Folsterhöhe Siedlung-to-Saar Basar,,3,https://www.openstreetmap.org/relation/405625,,
405907,-1,132,Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,,3,https://www.openstreetmap.org/relation/405907,,
405926,-1,125,Rodenhof Kalmanstraße-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/405926,,
405938,-1,103,Klarenthal Jägerpfad / Klarenthal Birkenweg-to-Spiesen Am Beckerwald/Elversberg Friedhof,,3,https://www.openstreetmap.org/relation/405938,,
405939,-1,104,Klarenthal Weidenstraße / Klarenthal Birkenweg-to-Elversberg Friedhof,,3,https://www.openstreetmap.org/relation/405939,,
