shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
7849879,49.2327358,6.9623598,0
4797947,49.4083499,6.9067701,1
7841892,49.2296296,6.9612938,2
405625,49.2341744,6.9935527,3
721798,49.234208,6.9935,4
405625,49.236841,6.9966845,5
7458537,49.2480046,6.9081427,6
7841892,49.2321608,6.9634785,7
7884258,49.2449415,6.9426676,8
1139510,49.4233534,6.9407621,9
1205315,49.2214945,6.8078033,10
1205315,49.2244752,6.8134086,11
7458537,49.2501792,6.8962362,12
7543084,49.3119426,7.0787999,13
7543084,49.3199274,7.0891018,14
7884258,49.2518557,6.937288,15
940082,49.2376784,7.0433047,16
4790636,49.4892143,6.9991633,17
940082,49.2376798,7.036372,18
7850697,49.2679695,7.0119628,19
1139510,49.4150596,6.9197938,20
4792645,49.2003254,7.245856,21
4031960,49.3330438,7.3364786,22
1204991,49.2325725,6.8294407,23
4790636,49.4827304,6.9206739,24
7886590,49.215688,7.0014905,25
1139510,49.4430261,6.9606271,26
4031964,49.3469401,7.3630218,27
7850697,49.3192209,7.0901674,28
1205315,49.2252148,6.8163732,29
1205315,49.225111,6.8165689,30
416496,49.2334692,6.988998,31
4773465,49.3039424,6.7453342,32
405625,49.2329961,6.9881631,33
1204988,49.2331492,6.9882228,34
4792646,49.2134227,7.2523822,35
4773464,49.3039284,6.7454012,36
450872,49.3541815,7.1230464,37
1204991,49.2052539,6.8431015,38
7900264,49.2526162,6.9152165,39
1140123,49.3989492,6.8706341,40
7522698,49.241223,6.9930099,41
1204991,49.179253,6.8544186,42
5776647,49.3063359,7.3439651,43
4790636,49.4609237,6.9580921,44
418585,49.3535412,7.1762869,45
2075840,49.2970581,6.9416132,46
1204991,49.1526681,6.8361183,47
7944644,49.2400469,7.0698888,48
7908403,49.1986036,7.0313347,49
4792645,49.1866707,7.2494427,50
4029528,49.3508234,7.3309662,51
1139510,49.464982,7.0000764,52
4773464,49.3080969,6.7447041,53
7830857,49.2317163,6.9861493,54
1204991,49.1700856,6.8298941,55
4773465,49.3124303,6.7411726,56
2071636,49.3046845,6.9312924,57
563170,49.5167689,6.6081982,58
7934503,49.2403054,6.9897844,59
7458537,49.2526059,6.8811943,60
1376296,49.3053741,6.7573402,61
5776647,49.3077018,7.3418373,62
4773465,49.3091569,6.7398709,63
2071636,49.3081027,6.9355106,64
2075840,49.2967654,6.9480923,65
1205315,49.2216601,6.808295,66
7458093,49.2511497,6.8928791,67
1139510,49.4711735,7.0719613,68
1139510,49.4718714,7.0686985,69
1139510,49.4718721,7.0706453,70
4790636,49.4756104,6.9573301,71
7986818,49.2118723,6.977055,72
1204991,49.2106091,6.831964,73
1204991,49.2083384,6.8353998,74
4797947,49.3249225,7.0593364,75
5776647,49.3103343,7.3417579,76
1204991,49.1545857,6.8411844,77
4792646,49.2105025,7.2487008,78
7839414,49.2315568,6.9737591,79
4029530,49.3355465,7.3354268,80
1204991,49.2030941,6.8419061,81
4773464,49.3004943,6.7429875,82
1204991,49.1679559,6.8376293,83
1204991,49.1815426,6.8571301,84
1204991,49.2034717,6.8459781,85
3857117,49.1539903,7.2105538,86
224554,49.242182,6.9563261,87
4029530,49.3658059,7.3243045,88
1139510,49.4145521,6.9298332,89
418586,49.5803207,7.1148739,90
3857117,49.1884057,7.1949858,91
2084669,49.2960297,6.8983645,92
2084669,49.2987943,6.8975278,93
2084669,49.2947851,6.8932896,94
2084671,49.2954426,6.8940545,95
2084671,49.2965828,6.9254073,96
2084669,49.296671,6.9256036,97
4773465,49.3089727,6.7429964,98
2084669,49.2979963,6.9295033,99
224554,49.4367417,6.634151,100
224554,49.4953122,6.5983027,101
3857117,49.1489669,7.2096711,102
563170,49.4098744,6.6481476,103
4792645,49.1740516,7.2379197,104
2084671,49.2881263,6.8764559,105
2084669,49.294567,6.882428,106
935880,49.2592867,7.1041411,107
1204991,49.1592869,6.8427852,108
2084669,49.2916556,6.8890845,109
4790636,49.4953819,7.0354783,110
2084670,49.2826498,6.8783496,111
3857117,49.1675406,7.2198083,112
2084669,49.2943751,6.8765599,113
2084669,49.2932714,6.9011463,114
2084669,49.2946985,6.9046029,115
3857117,49.2084113,7.1775438,116
1204991,49.2062554,6.8402437,117
4792645,49.170553,7.2322981,118
1204991,49.1561452,6.8350338,119
4720116,49.2520451,6.8184853,120
1204991,49.1894035,6.8532775,121
