trip_id,arrival_time,departure_time,stop_id,stop_sequence
75253841,05:00:00,05:00:30,264089156,0
75253851,05:00:00,05:00:30,5069917764,0
78868581,05:00:00,05:00:30,416933684,0
78868581,05:20:00,05:20:30,2958180997,1
78868581,05:40:00,05:40:30,2958170100,2
78868591,05:00:00,05:00:30,1271046553,0
40373351,05:00:00,05:00:30,3922543093,0
11083971,05:00:00,05:00:30,3256546033,0
11083971,05:20:00,05:20:30,3256546036,1
11083971,05:40:00,05:40:30,3256546035,2
11083971,06:00:00,06:00:30,3256546034,3
11083971,06:20:00,06:20:30,3256546039,4
11083971,06:40:00,06:40:30,3256546037,5
11083971,07:00:00,07:00:30,3256546038,6
11083971,07:20:00,07:20:30,3256546040,7
47734641,05:00:00,05:00:30,3314870903,0
47734641,05:20:00,05:20:30,1825299575,1
47734641,05:40:00,05:40:30,906492070,2
47734641,06:00:00,06:00:30,3314804550,3
47734641,06:20:00,06:20:30,906491789,4
47734641,06:40:00,06:40:30,281432142,5
47734641,07:00:00,07:00:30,906491791,6
47734641,07:20:00,07:20:30,281432170,7
47734641,07:40:00,07:40:30,3317008587,8
47734641,08:00:00,08:00:30,3317013480,9
47734641,08:20:00,08:20:30,906492045,10
47734641,08:40:00,08:40:30,3317048724,11
47734641,09:00:00,09:00:30,906491697,12
47734641,09:20:00,09:20:30,3317068416,13
47734641,09:40:00,09:40:30,3317113910,14
47734641,10:00:00,10:00:30,3317113911,15
47734641,10:20:00,10:20:30,853170991,16
47734641,10:40:00,10:40:30,3317141242,17
47734641,11:00:00,11:00:30,877032530,18
47734641,11:20:00,11:20:30,740102880,19
38915331,05:00:00,05:00:30,899737938,0
38915331,05:20:00,05:20:30,2964204956,1
38915331,05:40:00,05:40:30,2964204947,2
17111281,05:00:00,05:00:30,263906969,0
17111281,05:20:00,05:20:30,263906742,1
79442231,05:00:00,05:00:30,3088157985,0
78029151,05:00:00,05:00:30,2190254241,0
79345031,05:00:00,05:00:30,3453771892,0
4185861,05:00:00,05:00:30,1321500383,0
4185861,05:20:00,05:20:30,2137564240,1
4185861,05:40:00,05:40:30,2085119383,2
4185861,06:00:00,06:00:30,1454194345,3
4185861,06:20:00,06:20:30,1455145733,4
9428551,05:00:00,05:00:30,267968232,0
9428551,05:20:00,05:20:30,267968234,1
75226991,05:00:00,05:00:30,5067616162,0
57093581,05:00:00,05:00:30,3451720940,0
57093581,05:20:00,05:20:30,3869659870,1
57093581,05:40:00,05:40:30,3869659872,2
57093581,06:00:00,06:00:30,701093635,3
9400791,05:00:00,05:00:30,295052881,0
9400801,05:00:00,05:00:30,3455191595,0
9400801,05:20:00,05:20:30,5298309916,1
9400801,05:40:00,05:40:30,5301563274,2
9400801,06:00:00,06:00:30,5298309915,3
9400801,06:20:00,06:20:30,5298309918,4
9400801,06:40:00,06:40:30,3455191594,5
9400821,05:00:00,05:00:30,899405107,0
9400821,05:20:00,05:20:30,899405036,1
9400821,05:40:00,05:40:30,1139879980,2
9400821,06:00:00,06:00:30,1139879974,3
9400821,06:20:00,06:20:30,1139894729,4
9400821,06:40:00,06:40:30,733080955,5
9400821,07:00:00,07:00:30,899421249,6
9400821,07:20:00,07:20:30,1139894735,7
9400821,07:40:00,07:40:30,899405166,8
9400821,08:00:00,08:00:30,899421280,9
9400821,08:20:00,08:20:30,899512315,10
9400821,08:40:00,08:40:30,5298115582,11
79084031,05:00:00,05:00:30,401866235,0
79084031,05:20:00,05:20:30,401866236,1
79084031,05:40:00,05:40:30,899646981,2
79084031,06:00:00,06:00:30,276389563,3
79084031,06:20:00,06:20:30,293884151,4
79084031,06:40:00,06:40:30,478958051,5
79084031,07:00:00,07:00:30,5305391627,6
79084041,05:00:00,05:00:30,293884150,0
79084041,05:20:00,05:20:30,2364335438,1
79084041,05:40:00,05:40:30,276389562,2
79084041,06:00:00,06:00:30,411851134,3
79084041,06:20:00,06:20:30,411851132,4
5555801,05:00:00,05:00:30,1852235073,0
5555801,05:20:00,05:20:30,1852234870,1
5555801,05:40:00,05:40:30,3871401071,2
5555801,06:00:00,06:00:30,3451720939,3
5555801,06:20:00,06:20:30,701097849,4
78336701,05:00:00,05:00:30,1580693678,0
78336701,05:20:00,05:20:30,899421286,1
47734491,05:00:00,05:00:30,2958284055,0
47790851,05:00:00,05:00:30,663579840,0
47790851,05:20:00,05:20:30,2714673755,1
47790851,05:40:00,05:40:30,262829490,2
47790851,06:00:00,06:00:30,2714673705,3
47790851,06:20:00,06:20:30,2714673707,4
47790851,06:40:00,06:40:30,262829498,5
17639221,05:00:00,05:00:30,3915886481,0
17639221,05:20:00,05:20:30,3916002162,1
20716361,05:00:00,05:00:30,289735877,0
20716361,05:20:00,05:20:30,269915401,1
20716361,05:40:00,05:40:30,269915390,2
20716361,06:00:00,06:00:30,1663369860,3
20716361,06:20:00,06:20:30,269915959,4
20716361,06:40:00,06:40:30,270166129,5
20716361,07:00:00,07:00:30,1663369889,6
20716361,07:20:00,07:20:30,270166145,7
20716361,07:40:00,07:40:30,270165789,8
17111891,05:00:00,05:00:30,4390144275,0
40295281,05:00:00,05:00:30,619232437,0
40295281,05:20:00,05:20:30,619230369,1
40295281,05:40:00,05:40:30,906645488,2
40295281,06:00:00,06:00:30,960483075,3
40295281,06:20:00,06:20:30,906645606,4
40295281,06:40:00,06:40:30,906645417,5
40295281,07:00:00,07:00:30,906645377,6
40295281,07:20:00,07:20:30,960478758,7
40295281,07:40:00,07:40:30,960478756,8
40295281,08:00:00,08:00:30,960478755,9
40295281,08:20:00,08:20:30,612879870,10
40295281,08:40:00,08:40:30,906646007,11
40295281,09:00:00,09:00:30,906646011,12
47734651,05:00:00,05:00:30,740073067,0
47734651,05:20:00,05:20:30,740102885,1
47734651,05:40:00,05:40:30,853171011,2
47734651,06:00:00,06:00:30,853171014,3
47734651,06:20:00,06:20:30,3317123680,4
47734651,06:40:00,06:40:30,906491767,5
47734651,07:00:00,07:00:30,906492015,6
47734651,07:20:00,07:20:30,3317048725,7
47734651,07:40:00,07:40:30,906492154,8
47734651,08:00:00,08:00:30,3317021047,9
47734651,08:20:00,08:20:30,281432192,10
47734651,08:40:00,08:40:30,906492099,11
47734651,09:00:00,09:00:30,3314840616,12
47734651,09:20:00,09:20:30,955216416,13
47734651,09:40:00,09:40:30,3314840615,14
47734651,10:00:00,10:00:30,281432133,15
47734651,10:20:00,10:20:30,906491859,16
47734651,10:40:00,10:40:30,1827555071,17
47734651,11:00:00,11:00:30,906491835,18
40295301,05:00:00,05:00:30,906645811,0
40295301,05:20:00,05:20:30,906645738,1
40295301,05:40:00,05:40:30,906645629,2
40295301,06:00:00,06:00:30,906645940,3
40295301,06:20:00,06:20:30,906645665,4
40295301,06:40:00,06:40:30,906645818,5
40295301,07:00:00,07:00:30,960478750,6
40295301,07:20:00,07:20:30,906645682,7
40295301,07:40:00,07:40:30,960483076,8
40295301,08:00:00,08:00:30,619230214,9
40295301,08:20:00,08:20:30,619232440,10
78495671,05:00:00,05:00:30,789739366,0
78495671,05:20:00,05:20:30,3277319406,1
78495671,05:40:00,05:40:30,365152194,2
78495681,05:00:00,05:00:30,366285799,0
78495681,05:20:00,05:20:30,3277319405,1
78495681,05:40:00,05:40:30,366285804,2
78495681,06:00:00,06:00:30,365152196,3
78495681,06:20:00,06:20:30,262167635,4
2371551,05:00:00,05:00:30,3455193488,0
2371551,05:20:00,05:20:30,3455211377,1
2371551,05:40:00,05:40:30,297460778,2
2371551,06:00:00,06:00:30,344240647,3
2371551,06:20:00,06:20:30,2470507979,4
78418921,05:00:00,05:00:30,273533260,0
78418921,05:20:00,05:20:30,273533262,1
78418921,05:40:00,05:40:30,930019286,2
78418921,06:00:00,06:00:30,389943016,3
78418921,06:20:00,06:20:30,273533267,4
78418921,06:40:00,06:40:30,273533270,5
78418921,07:00:00,07:00:30,273533272,6
78418921,07:20:00,07:20:30,318919815,7
78418921,07:40:00,07:40:30,2285460545,8
78418921,08:00:00,08:00:30,2550222423,9
78418921,08:20:00,08:20:30,930053839,10
78418921,08:40:00,08:40:30,2929358955,11
78418921,09:00:00,09:00:30,2929345478,12
78418921,09:20:00,09:20:30,2929321248,13
78418921,09:40:00,09:40:30,2152561592,14
78418921,10:00:00,10:00:30,430808236,15
78418921,10:20:00,10:20:30,278263578,16
78418921,10:40:00,10:40:30,2929004118,17
78418921,11:00:00,11:00:30,271513351,18
78418921,11:20:00,11:20:30,899737808,19
78418921,11:40:00,11:40:30,276389513,20
78418921,12:00:00,12:00:30,276389588,21
78418921,12:20:00,12:20:30,899646828,22
78418921,12:40:00,12:40:30,1108372895,23
78418921,13:00:00,13:00:30,5305391628,24
3846141,05:00:00,05:00:30,1321500331,0
3846141,05:20:00,05:20:30,3617634669,1
3846141,05:40:00,05:40:30,259449966,2
79002641,05:00:00,05:00:30,368320419,0
79002641,05:20:00,05:20:30,5023994125,1
79002641,05:40:00,05:40:30,898163726,2
79002641,06:00:00,06:00:30,534156613,3
79002641,06:20:00,06:20:30,534162114,4
79002641,06:40:00,06:40:30,898163720,5
79002651,05:00:00,05:00:30,898163753,0
79002651,05:20:00,05:20:30,534156607,1
79002651,05:40:00,05:40:30,932218418,2
79002651,06:00:00,06:00:30,347358106,3
5631701,05:00:00,05:00:30,3953314786,0
5631701,05:20:00,05:20:30,1325373729,1
5631701,05:40:00,05:40:30,4017745524,2
5631701,06:00:00,06:00:30,4017745532,3
5631701,06:20:00,06:20:30,1323855664,4
5631701,06:40:00,06:40:30,4017745530,5
5631701,07:00:00,07:00:30,4017745536,6
5631701,07:20:00,07:20:30,4017745535,7
5631701,07:40:00,07:40:30,4017745533,8
5631701,08:00:00,08:00:30,5063120725,9
5631701,08:20:00,08:20:30,5063120722,10
5631701,08:40:00,08:40:30,4017745526,11
5631701,09:00:00,09:00:30,1261887907,12
5631701,09:20:00,09:20:30,4017745520,13
5631701,09:40:00,09:40:30,4017745521,14
5631701,10:00:00,10:00:30,3901154501,15
5631701,10:20:00,10:20:30,3791532296,16
5631701,10:40:00,10:40:30,1320055831,17
5631701,11:00:00,11:00:30,1320013175,18
5631701,11:20:00,11:20:30,1319963859,19
5631701,11:40:00,11:40:30,1319963886,20
5631701,12:00:00,12:00:30,1319886766,21
5631701,12:20:00,12:20:30,1319886800,22
5631701,12:40:00,12:40:30,1319848050,23
5631701,13:00:00,13:00:30,4017745540,24
5631701,13:20:00,13:20:30,3953314789,25
5382211,05:00:00,05:00:30,271785604,0
5382211,05:20:00,05:20:30,2964514003,1
5761121,05:00:00,05:00:30,3452189398,0
75088601,05:00:00,05:00:30,266856887,0
78511321,05:00:00,05:00:30,5310898065,0
78692581,05:00:00,05:00:30,5024429607,0
79868181,05:00:00,05:00:30,267041509,0
79868181,05:20:00,05:20:30,899606068,1
79868181,05:40:00,05:40:30,930001457,2
79868181,06:00:00,06:00:30,930001460,3
79868191,05:00:00,05:00:30,930001459,0
79868191,05:20:00,05:20:30,899606002,1
79868191,05:40:00,05:40:30,899606053,2
79868191,06:00:00,06:00:30,169541622,3
79868191,06:20:00,06:20:30,334650919,4
79868191,06:40:00,06:40:30,899605977,5
78849381,05:00:00,05:00:30,255745957,0
78849381,05:20:00,05:20:30,255745963,1
78849381,05:40:00,05:40:30,3452193718,2
9204721,05:00:00,05:00:30,5221309125,0
5382551,05:00:00,05:00:30,440859397,0
5382551,05:20:00,05:20:30,258599242,1
5382551,05:40:00,05:40:30,2958209687,2
5382551,06:00:00,06:00:30,2958209685,3
5382551,06:20:00,06:20:30,2958216873,4
5382551,06:40:00,06:40:30,2958216872,5
9358761,05:00:00,05:00:30,2963972821,0
20717081,05:00:00,05:00:30,1500264782,0
20717081,05:20:00,05:20:30,1663369894,1
20717081,05:40:00,05:40:30,1663369882,2
20717081,06:00:00,06:00:30,269915394,3
47986221,05:00:00,05:00:30,2420231455,0
47986221,05:20:00,05:20:30,3810018566,1
47986221,05:40:00,05:40:30,5054939588,2
47986221,06:00:00,06:00:30,5054939578,3
30690881,05:00:00,05:00:30,899801651,0
18044501,05:00:00,05:00:30,3953314784,0
9358791,05:00:00,05:00:30,2962588010,0
61039851,05:00:00,05:00:30,1279059260,0
61039851,05:20:00,05:20:30,898163741,1
61039851,05:40:00,05:40:30,271513369,2
61039851,06:00:00,06:00:30,266813936,3
61039851,06:20:00,06:20:30,3451636281,4
61039851,06:40:00,06:40:30,3452128144,5
61039851,07:00:00,07:00:30,3452157020,6
61039851,07:20:00,07:20:30,3453756483,7
78716881,05:00:00,05:00:30,5324789115,0
78394101,05:00:00,05:00:30,3452189397,0
78394111,05:00:00,05:00:30,267041638,0
78394111,05:20:00,05:20:30,273533261,1
78394111,05:40:00,05:40:30,408482305,2
9100051,05:00:00,05:00:30,2411332538,0
9100051,05:20:00,05:20:30,2411332537,1
78394141,05:00:00,05:00:30,929993793,0
78394141,05:20:00,05:20:30,362450770,1
78394141,05:40:00,05:40:30,408468500,2
78394141,06:00:00,06:00:30,408468499,3
78394141,06:20:00,06:20:30,408467905,4
78394141,06:40:00,06:40:30,481248728,5
78394141,07:00:00,07:00:30,930054304,6
78394141,07:20:00,07:20:30,899605969,7
65967951,05:00:00,05:00:30,5036361001,0
9100121,05:00:00,05:00:30,2711545262,0
9100121,05:20:00,05:20:30,347723293,1
9100121,05:40:00,05:40:30,2711355150,2
9100121,06:00:00,06:00:30,3917110953,3
20758401,05:00:00,05:00:30,258599275,0
20758401,05:20:00,05:20:30,258599269,1
20758401,05:40:00,05:40:30,262826538,2
20758401,06:00:00,06:00:30,262826526,3
20758401,06:20:00,06:20:30,1666388272,4
20758401,06:40:00,06:40:30,269319529,5
20758401,07:00:00,07:00:30,269319510,6
20758401,07:20:00,07:20:30,1666388335,7
20758401,07:40:00,07:40:30,270697982,8
20758401,08:00:00,08:00:30,1667742490,9
20758401,08:20:00,08:20:30,270698336,10
20758401,08:40:00,08:40:30,270705296,11
20758401,09:00:00,09:00:30,1667742531,12
20758401,09:20:00,09:20:30,270701844,13
20758401,09:40:00,09:40:30,270701853,14
20758401,10:00:00,10:00:30,1667742517,15
20758411,05:00:00,05:00:30,1666388508,0
20758411,05:20:00,05:20:30,269914478,1
20758421,05:00:00,05:00:30,1667742494,0
20758421,05:20:00,05:20:30,1666388376,1
20758421,05:40:00,05:40:30,1666388298,2
20758421,06:00:00,06:00:30,262826527,3
20758421,06:20:00,06:20:30,262826537,4
20758421,06:40:00,06:40:30,1663369845,5
20758431,05:00:00,05:00:30,1514397326,0
20758441,05:00:00,05:00:30,270705354,0
20758441,05:20:00,05:20:30,1667742524,1
78506961,05:00:00,05:00:30,695154096,0
78506961,05:20:00,05:20:30,5310960490,1
78506961,05:40:00,05:40:30,4018203441,2
47986211,05:00:00,05:00:30,5054939589,0
47986211,05:20:00,05:20:30,3810018567,1
47986211,05:40:00,05:40:30,1324015506,2
47986211,06:00:00,06:00:30,2420245964,3
47986211,06:20:00,06:20:30,5054383496,4
4056251,05:00:00,05:00:30,1139896204,0
4056251,05:20:00,05:20:30,899421347,1
4056251,05:40:00,05:40:30,1139894733,2
4056251,06:00:00,06:00:30,899404866,3
4056251,06:20:00,06:20:30,899421310,4
4056251,06:40:00,06:40:30,899421293,5
4056251,07:00:00,07:00:30,899421261,6
4056251,07:20:00,07:20:30,899421255,7
4056251,07:40:00,07:40:30,5298622451,8
4056251,08:00:00,08:00:30,899421282,9
4056251,08:20:00,08:20:30,5298622474,10
4056251,08:40:00,08:40:30,5298622470,11
4056251,09:00:00,09:00:30,310784070,12
4056251,09:20:00,09:20:30,142629691,13
4056251,09:40:00,09:40:30,289743468,14
4056251,10:00:00,10:00:30,267041520,15
4056251,10:20:00,10:20:30,899606041,16
4056251,10:40:00,10:40:30,899605974,17
38571171,05:00:00,05:00:30,906649798,0
38571171,05:20:00,05:20:30,906649795,1
38571171,05:40:00,05:40:30,906649840,2
38571171,06:00:00,06:00:30,906649802,3
38571171,06:20:00,06:20:30,906649774,4
38571171,06:40:00,06:40:30,906649814,5
38571171,07:00:00,07:00:30,279339798,6
38571171,07:20:00,07:20:30,906649839,7
38571171,07:40:00,07:40:30,906649786,8
38571171,08:00:00,08:00:30,906649781,9
38571171,08:20:00,08:20:30,906937295,10
38571171,08:40:00,08:40:30,906937536,11
38571171,09:00:00,09:00:30,597666318,12
38571171,09:20:00,09:20:30,906937352,13
38571171,09:40:00,09:40:30,906937497,14
38571171,10:00:00,10:00:30,906936540,15
38571171,10:20:00,10:20:30,906645245,16
38571171,10:40:00,10:40:30,848836981,17
38571171,11:00:00,11:00:30,471619154,18
74585371,05:00:00,05:00:30,270369534,0
74585371,05:20:00,05:20:30,270369551,1
74585371,05:40:00,05:40:30,5014997006,2
74585371,06:00:00,06:00:30,270372349,3
74585371,06:20:00,06:20:30,270362463,4
74585371,06:40:00,06:40:30,277286755,5
74585371,07:00:00,07:00:30,5024522266,6
74585371,07:20:00,07:20:30,252791994,7
74585371,07:40:00,07:40:30,5024448635,8
74585371,08:00:00,08:00:30,5319013077,9
4164961,05:00:00,05:00:30,899562451,0
4164961,05:20:00,05:20:30,802168310,1
4164961,05:40:00,05:40:30,3451512784,2
4164961,06:00:00,06:00:30,3451523652,3
4164961,06:20:00,06:20:30,818631773,4
4164961,06:40:00,06:40:30,310784068,5
4164961,07:00:00,07:00:30,310784066,6
4164961,07:20:00,07:20:30,304004158,7
13762961,05:00:00,05:00:30,281432189,0
13762961,05:20:00,05:20:30,740102923,1
78333341,05:00:00,05:00:30,354589967,0
78333341,05:20:00,05:20:30,441910960,1
47987611,05:00:00,05:00:30,2235655095,0
12049881,05:00:00,05:00:30,5308747723,0
12049881,05:20:00,05:20:30,627186539,1
12049881,05:40:00,05:40:30,276173132,2
12049881,06:00:00,06:00:30,310784072,3
12049881,06:20:00,06:20:30,267041636,4
12049881,06:40:00,06:40:30,408471947,5
12049881,07:00:00,07:00:30,934782964,6
2245541,05:00:00,05:00:30,4017745539,0
2245541,05:20:00,05:20:30,4017745534,1
2245541,05:40:00,05:40:30,3901034694,2
2245541,06:00:00,06:00:30,4017745518,3
2245541,06:20:00,06:20:30,4017745527,4
2245541,06:40:00,06:40:30,3901034693,5
2245541,07:00:00,07:00:30,416445158,6
2245541,07:20:00,07:20:30,3791557041,7
2245541,07:40:00,07:40:30,1320215713,8
2245541,08:00:00,08:00:30,1320341028,9
2245541,08:20:00,08:20:30,4017745522,10
2245541,08:40:00,08:40:30,4017745519,11
2245541,09:00:00,09:00:30,1261887966,12
2245541,09:20:00,09:20:30,4017745525,13
2245541,09:40:00,09:40:30,3454117629,14
2245541,10:00:00,10:00:30,3467286704,15
2245541,10:20:00,10:20:30,1672517428,16
2245541,10:40:00,10:40:30,1322023241,17
2245541,11:00:00,11:00:30,1323383293,18
2245541,11:20:00,11:20:30,1323383361,19
2245541,11:40:00,11:40:30,1323734240,20
2245541,12:00:00,12:00:30,1323855689,21
2245541,12:20:00,12:20:30,4017745531,22
2245541,12:40:00,12:40:30,4017745523,23
2245541,13:00:00,13:00:30,3617637836,24
2245541,13:20:00,13:20:30,3953314783,25
78865901,05:00:00,05:00:30,266813418,0
78865901,05:20:00,05:20:30,2929387301,1
78865901,05:40:00,05:40:30,899405151,2
12049911,05:00:00,05:00:30,899737696,0
12049911,05:20:00,05:20:30,899737828,1
12049911,05:40:00,05:40:30,899737910,2
12049911,06:00:00,06:00:30,899737873,3
12049911,06:20:00,06:20:30,935901351,4
12049911,06:40:00,06:40:30,899737756,5
12049911,07:00:00,07:00:30,899737952,6
12049911,07:20:00,07:20:30,899737810,7
12049911,07:40:00,07:40:30,899737708,8
12049911,08:00:00,08:00:30,899737942,9
12049911,08:20:00,08:20:30,901472725,10
12049911,08:40:00,08:40:30,901502863,11
12049911,09:00:00,09:00:30,936439171,12
12049911,09:20:00,09:20:30,901502804,13
12049911,09:40:00,09:40:30,899737837,14
12049911,10:00:00,10:00:30,899737741,15
12049911,10:20:00,10:20:30,309122626,16
12049911,10:40:00,10:40:30,270289603,17
12049911,11:00:00,11:00:30,899737821,18
12049911,11:20:00,11:20:30,899737684,19
12049911,11:40:00,11:40:30,899737771,20
12049911,12:00:00,12:00:30,899737765,21
12049911,12:20:00,12:20:30,899737902,22
12049911,12:40:00,12:40:30,899737958,23
12049911,13:00:00,13:00:30,899737898,24
12049911,13:20:00,13:20:30,899737936,25
12049911,13:40:00,13:40:30,899737848,26
12049911,14:00:00,14:00:30,899737917,27
12049911,14:20:00,14:20:30,899737944,28
12049911,14:40:00,14:40:30,899737791,29
12049911,15:00:00,15:00:30,899737689,30
12049911,15:20:00,15:20:30,899737768,31
12049911,15:40:00,15:40:30,899737932,32
12049911,16:00:00,16:00:30,899737834,33
12049911,16:20:00,16:20:30,899737914,34
12049911,16:40:00,16:40:30,899737960,35
12049911,17:00:00,17:00:30,899737947,36
12049911,17:20:00,17:20:30,1227170783,37
12049911,17:40:00,17:40:30,901472310,38
12049911,18:00:00,18:00:30,1227170808,39
12049911,18:20:00,18:20:30,1227170751,40
12049911,18:40:00,18:40:30,901473002,41
12049911,19:00:00,19:00:30,901472640,42
12049911,19:20:00,19:20:30,1227170764,43
12049911,19:40:00,19:40:30,901502744,44
12049911,20:00:00,20:00:30,1227170773,45
12049911,20:20:00,20:20:30,443763726,46
12049911,20:40:00,20:40:30,1227176580,47
12049911,21:00:00,21:00:30,3424578093,48
12049911,21:20:00,21:20:30,267968185,49
12049911,21:40:00,21:40:30,390494699,50
12049911,22:00:00,22:00:30,901472218,51
47979461,05:00:00,05:00:30,315894071,0
47979461,05:20:00,05:20:30,1565379956,1
47979461,05:40:00,05:40:30,3810017800,2
47979461,06:00:00,06:00:30,5054939545,3
47979461,06:20:00,06:20:30,4673134224,4
47979461,06:40:00,06:40:30,5054939565,5
47979461,07:00:00,07:00:30,3175311282,6
47979461,07:20:00,07:20:30,2235655067,7
47979461,07:40:00,07:40:30,4899357021,8
47979461,08:00:00,08:00:30,5054383471,9
47979461,08:20:00,08:20:30,5054383469,10
47979461,08:40:00,08:40:30,829837850,11
12053151,05:00:00,05:00:30,267667523,0
12053151,05:20:00,05:20:30,267667522,1
12053151,05:40:00,05:40:30,267665188,2
12053151,06:00:00,06:00:30,267665187,3
12053151,06:20:00,06:20:30,901502794,4
12053151,06:40:00,06:40:30,330103345,5
12053151,07:00:00,07:00:30,330103346,6
12053151,07:20:00,07:20:30,270287409,7
12053151,07:40:00,07:40:30,267666543,8
12053151,08:00:00,08:00:30,267666544,9
12053151,08:20:00,08:20:30,267667479,10
12053151,08:40:00,08:40:30,267667478,11
12053151,09:00:00,09:00:30,901502821,12
12053151,09:20:00,09:20:30,901502930,13
12053151,09:40:00,09:40:30,901502775,14
12053151,10:00:00,10:00:30,901502832,15
12053151,10:20:00,10:20:30,901502791,16
12053151,10:40:00,10:40:30,901502853,17
12053151,11:00:00,11:00:30,901502903,18
12053151,11:20:00,11:20:30,901502842,19
